date,region,product,revenue,units_sold,sales_rep
2024-07-24,North America,Smartphone,52059.57,102,George
2024-07-25,North America,Headphones,8353.19,68,Alice
2024-07-26,North America,Tablet,28487.31,78,Fiona
2024-07-29,Europe,Tablet,19551.82,45,Bob
2024-08-03,Latin America,Keyboard,17574.8,196,Ethan
2024-08-11,North America,Monitor,48253.66,152,Alice
2024-08-12,Latin America,Laptop,56145.44,68,Fiona
2024-08-14,North America,Laptop,176951.87,171,Alice
2024-08-21,Latin America,Keyboard,11045.3,152,George
2024-08-25,Latin America,Tablet,4791.8,12,Fiona
2024-08-26,Latin America,Monitor,56629.14,177,Hannah
2024-08-26,Asia Pacific,Tablet,19397.23,47,Bob
2024-09-06,Europe,Tablet,46200.14,116,George
2024-09-10,Latin America,Smartphone,26379.8,42,Alice
2024-09-13,Europe,Headphones,4266.84,32,Ethan
2024-09-15,North America,Headphones,7027.72,55,George
2024-09-17,Latin America,Laptop,153988.84,198,Bob
2024-10-06,North America,Tablet,62570.66,154,George
2024-10-07,Latin America,Smartphone,129688.47,195,Hannah
2024-10-13,Latin America,Headphones,21082.53,196,Diana
2024-10-14,North America,Laptop,24483.93,24,Charlie
2024-10-21,Latin America,Monitor,2378.93,6,Ethan
2024-10-21,Latin America,Monitor,59845.03,188,Diana
2024-10-22,Europe,Keyboard,1520.2,22,Diana
2024-10-25,Latin America,Tablet,28040.42,61,Charlie
2024-10-29,Latin America,Laptop,9483.57,12,Diana
2024-11-02,Asia Pacific,Monitor,2783.22,9,Fiona
2024-11-05,Asia Pacific,Laptop,169807.54,191,Bob
2024-11-09,North America,Keyboard,10977.02,146,Bob
2024-11-11,Latin America,Monitor,44567.45,116,Ethan
2024-11-13,North America,Monitor,62069.91,173,Fiona
2024-11-14,North America,Monitor,55654.74,156,Alice
2024-11-16,Europe,Tablet,40867.87,117,Ethan
2024-11-21,Asia Pacific,Smartphone,56820.92,99,Ethan
2024-11-21,Latin America,Keyboard,3451.87,44,Ethan
2024-11-22,Asia Pacific,Smartphone,114368.9,194,George
2024-11-23,North America,Laptop,162816.04,194,Diana
2024-11-23,Europe,Smartphone,64725.19,100,Alice
2024-12-05,North America,Keyboard,6493.85,81,George
2024-12-07,Asia Pacific,Monitor,61675.19,161,George
2024-12-10,North America,Laptop,103854.71,108,Bob
2024-12-14,North America,Keyboard,12214.99,142,Fiona
2024-12-16,Asia Pacific,Laptop,62173.86,63,Fiona
2024-12-17,Asia Pacific,Headphones,14435.25,130,Alice
2024-12-25,North America,Headphones,18062.89,167,Diana
2024-12-28,Latin America,Laptop,140056.93,138,Diana
